"","id","country","year","referendum","protestfinal","ethfrac","lang","relig","win","gwf","protest_cnts","sample_geddes","psyhint","infl","efw","gini","turnout","country_name","type","boycottopp","nelda_index","neldaindex","pop","gwf1","phat","ethfrac1","new_nelda","gwf2"
"64",278,"Taiwan",2000,0,0,0.274399995803833,0.502799987792969,0.684499979019165,0,"party-based",NA,1,NA,NA,30.2299995422363,NA,NA,61,1,0,0,-1.93558049201965,NA,2,0.135978117585182,1,1.59274138322729e-09,2
"65",50,"Cameroon",2011,0,0,0.863499999046326,0.889800012111664,0.733799993991852,1,"personal",0,1,NA,NA,32.6399993896484,38.9099998474121,68.3000030517578,10,1,0,NA,NA,21156272,6,0.311437249183655,3,NA,1
"66",133,"Guinea",2003,0,0,0.738900005817413,0.772499978542328,0.264899998903275,1,"personal",0,1,6,NA,NA,40.2999992370605,82.7600021362305,28,1,0,1,-0.616713464260101,9204581,6,0.311437249183655,3,0.26322340965271,1
"67",330,"Zimbabwe",2008,0,0,0.38740000128746,0.447200000286102,0.736299991607666,1,"party-based",4,1,0,NA,9.84000015258789,50.0999984741211,40.810001373291,71,0,0,3,1.87771654129028,12784041,2,0.135978117585182,2,0.761069178581238,2
"68",109,"Gambia",1992,0,0,0.786400020122528,0.807600021362305,0.0970000028610229,1,"party-based",0,1,NA,9.48653984069824,36.9700012207031,50.2299995422363,55.7999992370605,24,1,0,2,0.326107978820801,979666,2,0.135978117585182,3,0.451394528150558,2
"69",292,"Togo",2002,0,0,0.70990002155304,0.898000001907349,0.659600019454956,1,"personal",0,1,5,3.07406997680664,7.40000009536743,34.4099998474121,67.4300003051758,64,0,0,0,-1.93558049201965,5123674,6,0.311437249183655,3,1.59274138322729e-09,1
"70",323,"Zimbabwe",1990,0,0,0.38740000128746,0.447200000286102,0.736299991607666,1,"party-based",0,1,2,17.362699508667,18.6000003814697,50.0999984741211,30.8099994659424,71,0,0,4,3.074866771698,10461782,2,0.135978117585182,2,1,2
"71",55,"Chad",2001,0,0,0.861999988555908,0.863499999046326,0.641099989414215,1,"personal",1,1,3,NA,24.1000003814697,39.7799987792969,61.4000015258789,12,1,0,0,-1.93558049201965,8620917,6,0.311437249183655,3,1.59274138322729e-09,1
"72",163,"Kyrgyz Republic",2007,1,1,0.67519998550415,0.594900012016296,0.446999996900558,1,"personal",2,1,4,10.1752004623413,19,33.4300003051758,75.1999969482422,36,0,0,2,0.326107978820801,5268400,6,0.311437249183655,2,0.451394528150558,1
"73",223,"Republic of the Congo",2007,0,0,0.874700009822845,0.687099993228912,0.664200007915497,1,"personal",3,1,4,2.65640997886658,48.4300003051758,47.3199996948242,NA,50,0,0,1,-0.616713464260101,3758858,6,0.311437249183655,3,0.26322340965271,1
"74",276,"Taiwan",1996,0,0,0.274399995803833,0.502799987792969,0.684499979019165,1,"party-based",NA,1,NA,NA,43.8059997558594,NA,76,61,1,0,1,-0.871042251586914,NA,2,0.135978117585182,1,0.212463721632957,2
"75",316,"Zambia",1996,0,0,0.780799984931946,0.873399972915649,0.735899984836578,1,"party-based",0,1,3,43.0731010437012,62.5999984741211,49.7900009155273,58,70,0,0,3,1.75599980354309,9073311,2,0.135978117585182,3,0.73677659034729,2
"76",296,"Togo",2010,0,1,0.70990002155304,0.898000001907349,0.659600019454956,1,"personal",0,1,3,1.83416998386383,41.5299987792969,39.2900009155273,65.6999969482422,64,1,0,1,-0.738430142402649,6306014,6,0.311437249183655,3,0.238930836319923,1
"77",120,"Georgia",1999,0,0,0.492300003767014,0.474900007247925,0.654299974441528,1,"personal",0,1,2,19.192699432373,NA,41.060001373291,67.9000015258789,25,0,0,0,-1.93558049201965,4452500,6,0.311437249183655,2,1.59274138322729e-09,1
"78",246,"Serbia (Yugoslavia)",2000,0,1,0.573599994182587,NA,NA,0,"party-personal",10,1,NA,71.1205978393555,NA,32.7400016784668,74.4000015258789,55,0,0,1,-0.616713464260101,7516346,4,0.575099050998688,2,0.26322340965271,NA
"79",58,"Chad",2011,0,0,0.861999988555908,0.863499999046326,0.641099989414215,1,"personal",0,1,NA,-4.89524984359741,28.4899997711182,39.7799987792969,64.2200012207031,12,1,0,NA,NA,12080037,6,0.311437249183655,3,NA,1
"80",180,"Mexico",1991,0,1,0.541800022125244,0.151099994778633,0.17960000038147,1,"party-based",2,1,1,22.6615009307861,28.3199996948242,51.8899993896484,61,40,0,0,1,-0.616713464260101,87890094,2,0.135978117585182,2,0.26322340965271,2
"81",113,"Gambia",2001,0,0,0.786400020122528,0.807600021362305,0.0970000028610229,1,"personal",0,1,5,NA,36.9700012207031,47.2799987792969,89.6999969482422,24,1,0,0,-1.93558049201965,1266691,6,0.311437249183655,3,1.59274138322729e-09,1
"82",70,"Democratic Republic of Congo",2011,0,0,0.874700009822845,0.870500028133392,0.702099978923798,1,"personal",1,1,NA,NA,32.4199981689453,44.4300003051758,58.810001373291,15,1,0,NA,NA,63931512,6,0.311437249183655,3,NA,1
"83",273,"Sudan",2000,0,0,0.714699983596802,0.718999981880188,0.4307000041008,1,"personal",0,1,0,8.03306007385254,NA,35.2900009155273,NA,60,0,0,NA,NA,27729798,6,0.311437249183655,3,NA,1
"84",171,"Malaysia",1999,0,0,0.587999999523163,0.597000002861023,0.665700018405914,1,"party-based",4,1,5,2.74456000328064,43.2799987792969,37.9099998474121,68.6500015258789,38,0,0,2,0.326107978820801,22896048,2,0.135978117585182,2,0.451394528150558,2
"85",291,"Togo",1999,0,0,0.70990002155304,0.898000001907349,0.659600019454956,1,"personal",0,1,4,-0.070532999932766,18.6000003814697,34.4099998474121,NA,64,0,0,3,1.64497518539429,4740974,6,0.311437249183655,3,0.714617967605591,1
"86",46,"Cameroon",1997,0,1,0.863499999046326,0.889800012111664,0.733799993991852,1,"personal",0,1,3,4.7862401008606,16.1000003814697,40.4099998474121,75.5999984741211,10,0,0,1,-0.616713464260101,14709426,6,0.311437249183655,3,0.26322340965271,1
"87",294,"Togo",2005,0,0,0.70990002155304,0.898000001907349,0.659600019454956,1,"personal",6,1,2,6.80158996582031,17.4799995422363,34.4099998474121,63.5999984741211,64,1,0,3,1.87771654129028,5540214,6,0.311437249183655,3,0.761069178581238,1
"88",293,"Togo",2003,0,0,0.70990002155304,0.898000001907349,0.659600019454956,1,"personal",0,1,5,-0.962989985942841,17.7000007629395,34.4099998474121,71.9899978637695,64,1,0,2,0.813178300857544,5258956,6,0.311437249183655,3,0.548605442047119,1
"89",264,"Sri Lanka",1994,0,0,0.41499999165535,0.46450001001358,0.485300004482269,0,"party-based",0,1,2,8.44871044158936,39.2000007629395,35.4099998474121,76.2399978637695,59,0,0,NA,NA,17891000,2,0.135978117585182,2,NA,2
"90",21,"Azerbaijan",2000,0,1,0.204699993133545,0.205400004982948,0.48989999294281,1,"personal",0,1,4,1.80499994754791,45,36.5,68,5,0,0,2,0.447824716567993,8048600,6,0.311437249183655,1,0.475687116384506,1
"91",239,"Rwanda",2010,0,1,0.32379999756813,NA,0.506600022315979,1,"party-military",NA,1,NA,NA,55.1500015258789,50.8199996948242,NA,53,1,0,NA,NA,10836732,3,0.5,2,NA,NA
"92",288,"Tanzania",2010,1,0,0.735300004482269,0.898299992084503,0.633400022983551,1,"party-based",0,1,5,6.20016002655029,26.3299999237061,37.5800018310547,42.8400001525879,63,1,0,2,0.326107978820801,44973330,2,0.135978117585182,3,0.451394528150558,2
