"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"196",NA,"Female","1","3",5,5,0,0,1,0,10
"197",NA,"Male","1","3",10,5,10,10,1,10,10
"198",NA,"Female","1","2",7,4,7,8,1,6,10
"199",NA,"Female","1","2",6,4,10,10,1,10,10
"200",NA,"Male","1","2",6,4,10,10,1,10,8
"201",NA,"Female","1","2",6,5,10,10,1,10,10
"202","Fairly good","Male","0","1",5,3,3,10,1,5,1
"203","Very bad","Female","0","1",NA,7,5,10,1,7,9
"204",NA,"Female","0","2",NA,0,10,10,1,10,10
"205","Fairly good","Male","0","1",NA,0,10,10,1,10,10
"206",NA,"Female","0","1",NA,5,NA,10,1,NA,10
"207","Very good","Male","1","1",1,10,1,10,1,10,10
"208","Fairly bad","Female","0","1",6,3,9,6,1,8,7
"209","Very bad","Female","0","2",9,2,5,6,1,10,9
"210","Very good","Male","1","3",1,2,5,4,1,10,6
"211","Fairly good","Male","0","3",NA,8,10,10,1,10,9
"212","Fairly good","Male","0","1",NA,8,10,10,2,9,10
"213","Very good","Female","0","1",NA,7,10,10,1,10,10
"214","Fairly bad","Male","0","1",4,7,8,7,2,7,8
"215","Very good","Male","0","1",5,1,3,10,2,10,10
"216","Very good","Male","1","2",NA,0,0,10,1,0,10
"217","Very bad","Female","1","2",NA,5,4,7,2,3,7
"218","Fairly good","Female","0","2",7,7,6,8,1,8,8
"219","Fairly good","Female","0","2",4,4,6,9,1,8,7
"220","Fairly good","Female","1","1",NA,1,0,6,2,0,6
"221","Fairly good","Female","0","2",3,7,7,10,2,10,10
"222","Fairly good","Female","1","2",5,6,5,10,1,10,8
"223","Fairly good","Male","0","1",5,7,7,10,2,10,10
"224","Very good","Female","1","2",5,0,1,10,2,10,10
"225","Fairly good","Female","0","2",5,3,4,10,1,10,10
"226","Fairly good","Female","0","2",NA,1,6,7,2,10,10
"227","Fairly good","Female","0","1",3,1,1,6,NA,10,10
"228",NA,"Male","1",NA,NA,NA,NA,0,1,NA,7
"229",NA,"Female","1",NA,NA,NA,NA,NA,2,NA,NA
"230","Fairly good","Female","0","2",NA,1,10,10,1,10,10
"231",NA,"Male","1","2",4,1,10,10,2,10,10
"232","Very good","Male","0","2",8,1,5,6,1,10,10
"233","Very good","Female","0","2",4,1,4,10,1,10,8
"234","Fairly good","Male","1","2",8,5,5,4,2,4,5
"235","Fairly bad","Female","1","2",6,5,6,3,4,4,5
"236","Very good","Male","1","2",10,3,7,8,1,10,10
"237",NA,"Female","0","2",3,5,5,6,2,6,5
"238",NA,"Female","1","1",NA,5,7,7,2,7,6
"239","Very good","Female","0","2",10,1,10,10,1,8,10
"240","Very good","Female","0","2",6,3,5,3,2,8,8
"241","Very good","Male","1","2",5,2,7,10,2,9,10
"242","Very good","Female","0","2",8,1,1,10,2,10,10
"243","Fairly good","Male","0","2",2,1,0,10,4,1,10
"244","Fairly good","Male","0","1",5,5,6,9,2,7,8
"245","Fairly good","Female","0","3",3,3,5,7,1,8,7
